Team Name,Submission ID,Abstract Decision(R:Rejected O:Oral P:Poster),Withdrawn,Successful Unofficial Phase Entry,Successful Official Phase Entry,Scored On Test Set,Working Training Code,Open Source Licence,Registered At CinC,Preprint At CinC By Deadline,Ranking and Main Prize Eligible,Note
HIT-CS,335,P,No,Yes,No,No,N/A,N/A,Yes,No,No,Remote
iadi-ecg,46,P,No,Yes,Yes,Yes,Yes,BSD 2-Clause,Yes,Yes,Yes,In person
ibmtPeakyFinders,213,P,No,Yes,Yes,Yes,Yes,BSD 2-Clause,Yes,Yes,Yes,In person
ISIBrno-AIMT,14,O,No,Yes,Yes,Yes,Yes,BSD 2-Clause,Yes,Yes,Yes,In person
itaca-UPV,109,P,No,Yes,Yes,Yes,Yes,BSD 2-Clause,Yes,Yes,Yes,In person
Lead-AI,292,R,No,Yes,No,No,N/A,N/A,No,No,No,
Leicester-Fox,194,P,No,No,No,No,N/A,N/A,Yes,Yes,No,Remote
LINC,59,P,No,Yes,No,No,N/A,N/A,Yes,Yes,No,Remote
matFCT,51,P,No,Yes,Yes,Yes,Yes,BSD 2-Clause,Yes,No,No,Remote
Medics,155,P,No,Yes,No,No,N/A,N/A,Yes,Yes,No,Remote
METU-19,33,P,No,Yes,Yes,Yes,Yes,BSD 2-Clause,Yes,Yes,Yes,Remote
NIMA,352,Wildcard,No,No,Yes,Yes,Yes,BSD 2-Clause,Yes,Yes,Yes,Remote
Northern Lights,50,P,No,Yes,No,No,N/A,N/A,No,No,No,
PhysioNauts,245,O,No,Yes,Yes,No,No,BSD 2-Clause,Yes,Yes,No,In person
PLRI,276,R,No,No,No,No,N/A,N/A,No,No,No,
Polimi_1,143,P,No,Yes,Yes,Yes,Yes,BSD 2-Clause,Yes,Yes,Yes,Remote
prna,26,O,No,Yes,Yes,Yes,Yes,BSD 2-Clause,Yes,Yes,Yes,Remote
Proton,35,P,No,Yes,Yes,Yes,Yes,BSD 2-Clause,Yes,No,No,Remote
Revenger,17,P,No,Yes,Yes,No,Yes,MIT,Yes,Yes,No,Remote
SASVIN,344,R,No,No,No,No,N/A,N/A,No,No,No,
SDSVLS,64,P,Yes,Yes,Yes,Yes,Yes,CC BY-NC 4.0,No,No,No,
SG_Cardio,315,R,No,Yes,No,No,N/A,N/A,No,No,No,
SharifHeart,262,P,No,Yes,Yes,Yes,Yes,No licence file,No,No,No,
SJTU_PAMI_Lab,296,P,No,No,No,No,N/A,N/A,No,No,No,
skylark,231,P,No,Yes,Yes,Yes,No,BSD 2-Clause,Yes,Yes,No,Remote
SMS+1,24,O,No,Yes,Yes,Yes,Yes,BSD 2-Clause,Yes,Yes,Yes,Remote
snu_adsl,19,O,No,Yes,Yes,Yes,Yes,BSD 2-Clause,Yes,Yes,Yes,Remote
Spring_Team,128,R,No,Yes,No,No,N/A,N/A,No,No,No,
STRAP,253,R,No,Yes,No,No,N/A,N/A,No,No,No,
Sunset,21,P,No,Yes,Yes,Yes,Yes,BSD 2-Clause,Yes,Yes,Yes,Remote
TachyAI,34,O,Yes,Yes,Yes,No,N/A,N/A,No,No,No,
Team_Leo,12,P,Yes,Yes,Yes,Yes,Yes,MIT License,No,No,No,
TRIAD_Tulane,280,R,No,No,No,No,N/A,N/A,No,No,No,
UIDT_UNAM,67,P,Yes,Yes,Yes,Yes,Yes,BSD 2-Clause,Yes,No,No,Remote
UMCU,171,P,No,Yes,Yes,Yes,Yes,BSD 2-Clause,Yes,Yes,Yes,Remote
UoB_HBC,136,P,No,Yes,Yes,Yes,Yes,BSD 2-Clause,Yes,Yes,Yes,Remote
USST_Med,105,P,No,Yes,Yes,Yes,Yes,BSD 2-Clause,Yes,Yes,Yes,Remote
UTAR_Team,27,R,Yes,Yes,No,No,N/A,N/A,No,No,No,
WEAIT,54,P,No,Yes,Yes,Yes,Yes,BSD 2-Clause,Yes,Yes,Yes,Remote
Whitaker's Lab,290,P,Yes,Yes,No,No,N/A,N/A,No,No,No,
