Team Name,Entry UID,Training Run Time (minutes),Validation AUROC,Validation AUPRC,Validation Accuracy,Validation F-measure,Validation Challenge Metric,Validation Run Time (minutes),CPSC Test AUROC,CPSC Test AUPRC,CPSC Test Accuracy,CPSC Test F-measure,CPSC Test Challenge Metric,CPSC Test Run Time (minutes),G12EC Test AUROC,G12EC Test AUPRC,G12EC Test Accuracy,G12EC Test F-measure,G12EC Test Challenge Metric,G12EC Test Run Time (minutes),Undisclosed Test AUROC,Undisclosed Test AUPRC,Undisclosed Test Accuracy,Undisclosed Test F-measure,Undisclosed Test Challenge Metric,Undisclosed Test Run Time (minutes),UMich Test AUROC,UMich Test AUPRC,UMich Test Accuracy,UMich Test F-measure,UMich Test Challenge Metric,UMich Test Run Time (minutes)
LINC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
matFCT,matFCT_428,1141,0.798,0.261,0.141,0.221,0.425,13,0.837,0.571,0.111,0.151,0.429,3,0.776,0.256,0.134,0.216,0.418,9,0.833,0.404,0.212,0.255,0.421,17,0.781,0.268,0.151,0.235,0.439,32
Medics,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Northern Lights,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PhysioNauts,PhysioNauts_484,2078,0.916,0.446,0.198,0.381,0.585,9,0.95,0.812,0.312,0.156,0.67,2,0.899,0.446,0.154,0.379,0.565,6,0.803,0.331,0.026,0.206,0.093,12,N/A,N/A,N/A,N/A,N/A,N/A
PLRI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Proton,Proton_377,2396,0.893,0.42,0.282,0.406,0.537,3,0.946,0.778,0.323,0.182,0.604,2,0.886,0.461,0.261,0.442,0.529,1,0.918,0.595,0.312,0.407,0.405,2,0.885,0.462,0.323,0.429,0.508,3
Revenger,Revenger_449,2483,0.895,0.438,0.394,0.393,0.47,2,0.947,0.794,0.463,0.182,0.647,1,0.884,0.46,0.377,0.402,0.444,1,0.855,0.537,0.347,0.297,0.194,3,0.88,0.466,0.381,0.397,0.336,6
SASVIN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SDSVLS,SDSVLS_518,916,0.756,0.209,0,0.172,0.372,17,0.734,0.357,0,0.074,0.222,5,0.742,0.21,0,0.186,0.402,14,0.793,0.333,0.031,0.204,0.362,20,0.759,0.239,0.006,0.207,0.372,44
SG_Cardio,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SharifHeart,SharifHeart_600,1221,0.725,0.172,0.038,0.15,0.367,2,0.648,0.225,0.01,0.065,0.226,1,0.704,0.184,0.038,0.165,0.391,2,0.799,0.369,0.051,0.251,0.351,4,0.724,0.207,0.049,0.191,0.391,7
SJTU_PAMI_Lab,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
skylark,skylark_247,27,0.876,0.382,0.049,0.321,0.467,4,0.937,0.753,0.037,0.158,0.355,1,0.871,0.387,0.051,0.331,0.492,3,0.896,0.549,0.204,0.349,0.415,6,0.872,0.405,0.054,0.334,0.391,12
Spring_Team,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
STRAP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TachyAI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TeamLeo,TeamLeo_365,271,0.778,0.164,0.006,0.201,0.399,1079,0.764,0.338,0.003,0.09,0.254,237,0.741,0.175,0.004,0.213,0.424,829,0.815,0.308,0.009,0.233,0.268,1591,0.756,0.196,0.011,0.219,0.358,3104
TRIAD_Tulane,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UIDTUNAM_422,UIDTUNAM_422_2,1946,0.841,0.37,0.267,0.353,0.494,4,0.94,0.797,0.47,0.201,0.759,1,0.822,0.359,0.194,0.336,0.444,4,0.85,0.447,0.292,0.324,0.356,7,0.796,0.311,0.173,0.279,0.267,13
UTAR_Team,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Whitaker's Lab,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
