Team	Identifier	AUROC on Training Set	AUPRC on Training Set	F-measure on Training Set	Accuracy on Training Set	Weighted Accuracy on Training Set	Cost on Training Set	AUROC on Validation Set	AUPRC on Validation Set	F-measure on Validation Set	Accuracy on Validation Set	Weighted Accuracy on Validation Set	Cost on Validation Set	AUROC on Test Set	AUPRC on Test Set	F-measure on Test Set	Accuracy on Test Set	Weighted Accuracy on Test Set	Cost on Test Set	Training Time (h:mm:ss)	Run Time (h:mm:ss) on Training Set	Run Time (h:mm:ss) on Validation Set	Run Time (h:mm:ss) on Test Set
ITHUST	 ITHUST_1011_1	1.0	1.0	1.0	1.0	1.0	5286	0.511	0.505	0.509	0.523	0.483	12456	0.493	0.497	0.492	0.493	0.47	16436	0:00:06	0:00:07	0:00:02	0:00:04
L3S	None	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
Life_Is_Now	 LifeIsNow_1337_1	0.498	0.499	0.409	0.486	0.743	13001	0.546	0.526	0.419	0.456	0.743	10519	nan	nan	nan	nan	nan	nan	1:27:01	1:19:49	0:12:58	nan
MCC31	 MCC31_1144_1	0.998	0.998	0.972	0.972	0.963	6046	0.652	0.638	0.586	0.597	0.576	10865	0.585	0.573	0.561	0.562	0.526	15371	0:01:50	0:02:16	0:00:26	0:00:47
MZR_CEME	None	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
Med_NYCU_kitten	None	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
Medics	 Medics_1352_1	1.0	1.0	1.0	1.0	1.0	5286	0.578	0.583	0.544	0.55	0.557	11033	0.57	0.578	0.547	0.547	0.521	15416	0:28:45	0:28:21	0:05:06	0:16:05
OeDeepL_Complex	None	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
Proton	None	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
SAMI	 SAMI_1143_1	0.723	0.724	0.676	0.679	0.623	12929	0.711	0.733	0.663	0.678	0.639	9958	0.664	0.678	0.616	0.618	0.556	14938	0:24:06	0:00:39	0:00:08	0:00:21
SJ_TeamWhite	 SJTeamWhite_1158_1	0.882	0.866	0.523	0.584	0.839	11016	0.562	0.586	0.412	0.443	0.706	10623	0.561	0.572	0.427	0.509	0.755	13198	4:21:46	0:05:17	0:01:05	0:02:54
THE_ELITES	None	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
TeamEIHW	None	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
UCAS	None	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
UV_MAIANS	None	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
UZ-ULPGC	None	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
Ulster Engs	 UlsterEngs_1197_1	0.638	0.633	0.326	0.484	0.824	14851	0.619	0.605	0.277	0.383	0.756	13836	nan	nan	nan	nan	nan	nan	1:36:59	0:55:41	0:09:26	nan
Veteran	 Veteran_1147_1	0.745	0.732	0.692	0.693	0.664	11967	0.601	0.607	0.564	0.577	0.546	11382	0.617	0.617	0.557	0.558	0.522	15455	0:07:28	0:01:59	0:00:29	0:01:00
bric	 bric_1470_1	1.0	1.0	0.992	0.992	0.996	5353	0.622	0.644	0.577	0.584	0.592	10468	0.62	0.629	0.56	0.56	0.547	14819	12:11:55	10:15:14	1:37:21	4:57:05
cutcm	None	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
sakura	None	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
uestc-team	 uestcteam_1037_1	0.998	0.995	0.933	0.933	0.976	5644	0.528	0.54	0.474	0.483	0.679	9747	0.566	0.563	0.491	0.545	0.756	12230	0:21:23	0:11:04	0:01:52	0:06:11
