Team Name,Entry UID,"Training Run 
Time (minutes)","Validation
AUROC","Validation
AUPRC","Validation
Accuracy","Validation
F-measure","Validation
Challenge Metric","Validation 
Run Time (minutes)","CPSC Test
AUROC","CPSC Test
AUPRC","CPSC Test
Accuracy","CPSC Test
F-measure","CPSC Test
Challenge Metric","CPSC Test 
Run Time","G12EC Test
AUROC","G12EC Test
AUPRC","G12EC Test
Accuracy","G12EC Test
F-measure","G12EC Test
Challenge Metric","G12EC Test
Run Time","Undisclosed Test
AUROC","Undisclosed Test
AUPRC","Undisclosed Test
Accuracy","Undisclosed Test
F-measure","Undisclosed Test
Challenge Metric","Undisclosed Test
Run Time","UMich Test
AUROC","UMich Test
AUPRC","UMich Test
Accuracy","UMich Test
F-measure","UMich Test
Challenge Metric","UMich Test
Run Time"
CinCSEM,CinCSEM_295,677,0.788,0.265,0.223,0.151,0.117,26,0.775,0.468,0.245,0.184,0.176,8,0.775,0.273,0.212,0.152,0.106,20,0.806,0.383,0.308,0.199,0.083,24,0.782,0.277,0.252,0.167,0.11,68
ConnectedHealth,ConnectedHealth_155,1351,0.905,0.414,0.308,0.377,0.55,10,0.948,0.767,0.377,0.184,0.676,3,0.888,0.414,0.276,0.386,0.527,6,0.911,0.562,0.327,0.343,0.362,12,0.892,0.442,0.333,0.398,0.482,23
CookieMonster,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CQUPT_Dontwant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CVBLab_UNIVPM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECG_CQUPT_GF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECUTeam,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
F-team,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GenieEnterprise,GenieEnterprise_498,525,0.607,0.114,0,0.106,0.347,1,0.624,0.301,0,0.054,0.193,1,0.6,0.12,0,0.11,0.38,1,0.705,0.276,0,0.113,0.213,1,0.615,0.136,0,0.123,0.325,3
GFTeam,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HeartBeats,HeartBeats_561,512,0.942,0.514,0.254,0.448,0.65,6,0.965,0.809,0.394,0.179,0.727,1,0.925,0.523,0.202,0.447,0.63,4,0.924,0.602,0.199,0.383,0.475,9,0.933,0.523,0.246,0.455,0.571,17
HIT-CS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lead-AI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Leicester-Fox,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LINC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
matFCT,matFCT_428,1141,0.798,0.261,0.141,0.221,0.425,14,0.837,0.571,0.111,0.151,0.429,3,0.776,0.256,0.134,0.216,0.418,11,0.833,0.404,0.212,0.255,0.421,23,0.781,0.268,0.151,0.235,0.439,41
Medics,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Northern Lights,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PhysioNauts,PhysioNauts_484,2078,0.923,0.458,0.222,0.406,0.603,8,0.957,0.81,0.319,0.162,0.676,2,0.908,0.461,0.174,0.403,0.584,6,0.762,0.332,0.021,0.207,-0.01,12,N/A,N/A,N/A,N/A,N/A,N/A
PLRI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Proton,Proton_377,2396,0.901,0.437,0.277,0.412,0.558,2,0.951,0.788,0.335,0.185,0.595,1,0.892,0.458,0.256,0.421,0.561,1,0.932,0.612,0.359,0.419,0.473,1,0.897,0.476,0.305,0.439,0.502,3
Revenger,Revenger_449,2483,0.909,0.452,0.381,0.393,0.47,2,0.95,0.792,0.426,0.171,0.616,1,0.841,0.475,0.366,0.426,0.453,1,0.886,0.54,0.343,0.285,0.274,3,0.887,0.472,0.375,0.393,0.346,6
SASVIN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SDSVLS,SDSVLS_518,916,0.78,0.238,0.001,0.185,0.384,15,0.776,0.41,0.001,0.086,0.245,4,0.744,0.241,0.001,0.196,0.412,10,0.821,0.364,0.033,0.221,0.38,19,0.782,0.265,0.006,0.22,0.376,40
SG_Cardio,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SharifHeart,SharifHeart_600,1221,0.801,0.275,0.049,0.225,0.407,2,0.82,0.541,0.053,0.109,0.35,1,0.768,0.275,0.042,0.232,0.414,2,0.837,0.455,0.073,0.289,0.373,4,0.796,0.316,0.063,0.258,0.431,7
SJTU_PAMI_Lab,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
skylark,skylark_247,27,0.894,0.41,0.143,0.372,0.517,4,0.93,0.732,0.171,0.157,0.51,1,0.871,0.406,0.122,0.372,0.512,3,0.902,0.548,0.19,0.345,0.291,5,0.88,0.426,0.145,0.379,0.429,10
Spring_Team,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
STRAP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TachyAI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TeamLeo,TeamLeo_365,271,0.766,0.188,0.006,0.215,0.402,1051,0.818,0.455,0.004,0.11,0.271,236,0.749,0.198,0.008,0.225,0.433,815,0.824,0.329,0.02,0.235,0.304,1588,0.776,0.221,0.015,0.234,0.376,3088
TRIAD_Tulane,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UIDTUNAM_422,UIDTUNAM_422_2,1946,0.865,0.371,0.248,0.34,0.519,5,0.936,0.767,0.357,0.177,0.687,1,0.844,0.369,0.212,0.341,0.492,4,0.841,0.423,0.194,0.279,0.267,8,0.812,0.305,0.212,0.285,0.332,14
UTAR_Team,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Whitaker's Lab,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
