,,Database ->,Validation Dataset,Validation Dataset,Validation Dataset,Validation Dataset,Validation Dataset,Hidden CSPC Set,Hidden CSPC Set,Hidden CSPC Set,Hidden CSPC Set,Hidden CSPC Set,Hidden G12EC Set,Hidden G12EC Set,Hidden G12EC Set,Hidden G12EC Set,Hidden G12EC Set,Hidden Undisclosed Set,Hidden Undisclosed Set,Hidden Undisclosed Set,Hidden Undisclosed Set,Hidden Undisclosed Set,Test set,Test set,Test set,Test set,Test set
10,PALab,35,0.942,0.549,0.381,0.530,0.653,0.971,0.873,0.574,0.218,0.836,0.928,0.541,0.319,0.525,0.623,0.751,0.319,0.247,0.199,0.144,0.852,0.393,0.296,0.380,0.359
11,HITTING,171,0.701,0.273,0.338,0.366,0.435,0.841,0.606,0.337,0.220,0.556,0.699,0.291,0.334,0.381,0.418,0.730,0.378,0.344,0.386,0.290,0.695,0.289,0.339,0.366,0.354
12,Gio_Ivo,116,0.830,0.314,0.045,0.296,0.426,0.882,0.619,0.117,0.116,0.452,0.799,0.312,0.026,0.304,0.421,0.810,0.376,0.047,0.244,0.205,0.777,0.302,0.047,0.266,0.298
13,AUTh Team,417,0.879,0.388,0.057,0.349,0.470,0.918,0.698,0.093,0.169,0.447,0.869,0.397,0.047,0.358,0.476,0.834,0.412,0.008,0.234,0.143,0.815,0.329,0.028,0.272,0.281
14,BioS,124,,,,,,,,,,,,,,,,,,,,,,,,,
15,UC_Lab_Kn,229,0.938,0.528,0.322,0.480,0.656,0.973,0.871,0.606,0.237,0.840,0.851,0.392,0.221,0.326,0.300,0.828,0.464,0.289,0.277,0.190,0.845,0.391,0.294,0.315,0.270
16,Cardio-Challengers,225,0.498,0.060,0.000,0.105,0.337,0.500,0.135,0.000,0.058,0.176,0.498,0.067,0.000,0.115,0.369,0.495,0.103,0.001,0.119,0.198,0.498,0.072,0.001,0.116,0.258
17,JuJuRock,134,0.457,0.060,0.021,0.271,0.406,0.577,0.169,0.013,0.127,0.253,0.439,0.065,0.022,0.292,0.437,0.441,0.093,0.009,0.177,0.125,0.436,0.064,0.012,0.223,0.244
18,Minibus,282,0.864,0.489,0.476,0.430,0.446,0.963,0.861,0.755,0.235,0.722,0.862,0.491,0.391,0.447,0.394,0.828,0.493,0.284,0.324,0.088,0.828,0.448,0.357,0.409,0.236
19,Desafinado,363,0.906,0.478,0.224,0.413,0.576,0.967,0.833,0.325,0.182,0.681,0.887,0.481,0.186,0.412,0.556,0.806,0.358,0.009,0.202,-0.013,0.822,0.362,0.089,0.298,0.233
20,TeamUIO,227,0.846,0.334,0.079,0.309,0.377,0.856,0.605,0.09,0.165,0.379,0.812,0.315,0.07,0.307,0.382,0.677,0.215,0.133,0.15,0.076,0.728,0.218,0.107,0.233,0.206
21,Eagles,138,0.677,0.189,0.160,0.195,0.214,0.714,0.351,0.146,0.104,0.235,0.653,0.188,0.155,0.185,0.205,0.648,0.270,0.302,0.186,0.205,0.647,0.202,0.240,0.200,0.205
22,BUTTeam,189,0.940,0.531,0.395,0.522,0.696,0.974,0.844,0.661,0.245,0.892,0.864,0.381,0.238,0.259,0.235,0.877,0.467,0.292,0.251,0.104,0.850,0.392,0.307,0.277,0.202
23,DSC,71,0.769,0.374,0.429,0.536,0.616,0.900,0.647,0.597,0.231,0.824,0.670,0.248,0.288,0.350,0.301,0.668,0.304,0.286,0.283,0.062,0.658,0.245,0.311,0.316,0.194
24,Pink Irish Hat,198,0.878,0.447,0.417,0.381,0.511,0.944,0.796,0.653,0.274,0.762,0.715,0.267,0.170,0.193,0.127,0.776,0.397,0.267,0.287,0.123,0.748,0.311,0.271,0.256,0.167
25,Madhardmax,185,0.921,0.471,0.365,0.461,0.533,0.958,0.810,0.508,0.221,0.544,0.914,0.470,0.315,0.454,0.525,0.916,0.542,0.240,0.281,-0.109,0.895,0.426,0.284,0.373,0.155
26,Care4MyHeart,127,0.869,0.361,0.250,0.350,0.379,0.929,0.721,0.408,0.168,0.611,0.862,0.362,0.208,0.352,0.342,0.820,0.376,0.108,0.239,-0.027,0.828,0.315,0.166,0.290,0.146
27,MCIRCC,374,0.907,0.442,0.333,0.433,0.616,0.956,0.810,0.665,0.234,0.813,0.810,0.315,0.232,0.199,0.162,0.792,0.398,0.274,0.231,0.050,0.807,0.328,0.296,0.243,0.141
28,heartly-ai,356,0.870,0.370,0.310,0.230,0.159,0.927,0.730,0.514,0.202,0.351,0.847,0.378,0.249,0.210,0.128,0.870,0.476,0.346,0.262,0.116,0.847,0.387,0.330,0.237,0.136
29,Code Team,130,0.940,0.531,0.369,0.513,0.657,0.968,0.850,0.658,0.302,0.830,0.835,0.370,0.248,0.237,0.181,0.835,0.467,0.276,0.237,0.023,0.831,0.376,0.300,0.256,0.132
30,ISIBrno,32,0.922,0.533,0.417,0.510,0.659,0.977,0.893,0.717,0.262,0.847,0.815,0.356,0.246,0.270,0.195,0.492,0.102,0.002,0.046,-0.006,0.675,0.222,0.141,0.191,0.122
31,Alba_W.O.,61,0.602,0.182,0.368,0.220,0.308,0.815,0.491,0.568,0.434,0.709,0.576,0.120,0.192,0.125,0.094,0.540,0.151,0.302,0.115,0.035,0.554,0.125,0.291,0.130,0.102
32,AI Strollers,277,0.625,0.124,0.000,0.140,0.342,0.783,0.437,0.001,0.117,0.212,0.622,0.135,0.000,0.153,0.359,0.629,0.197,0.000,0.144,0.096,0.599,0.136,0.000,0.142,0.077
33,ECGLearner,95,0.903,0.473,0.421,0.451,0.486,0.956,0.807,0.674,0.195,0.669,0.886,0.461,0.339,0.441,0.452,0.786,0.315,0.054,0.159,-0.347,0.829,0.324,0.194,0.300,0.001
34,Leicester-Fox,135,0.647,0.242,0.340,0.316,0.395,0.861,0.650,0.543,0.218,0.717,0.635,0.226,0.279,0.301,0.340,0.556,0.163,0.021,0.118,-0.309,0.587,0.163,0.146,0.207,-0.012
35,deepzx987,424,0.825,0.326,0.331,0.286,0.305,0.919,0.711,0.527,0.228,0.648,0.812,0.318,0.277,0.259,0.25,0.694,0.239,0.08,0.118,-0.287,0.742,0.229,0.181,0.182,-0.035
36,CVC,128,0.858,0.386,0.208,0.369,0.476,0.951,0.768,0.431,0.199,0.491,0.782,0.305,0.140,0.237,0.150,0.774,0.351,0.088,0.202,-0.287,0.762,0.292,0.135,0.233,-0.080
37,Cordi-Ak,297,0.815,0.299,0.083,0.238,0.304,0.773,0.507,0.209,0.160,0.254,0.733,0.219,0.025,0.183,0.267,0.639,0.190,0.013,0.090,-0.387,0.688,0.167,0.035,0.136,-0.113
38,MIndS,339,0.845,0.343,0.317,0.296,0.368,0.905,0.672,0.463,0.190,0.587,0.836,0.336,0.275,0.287,0.333,0.657,0.175,0.017,0.080,-0.489,0.828,0.448,0.357,0.409,-0.128
39,easyG,148,0.865,0.369,0.392,0.310,0.403,0.919,0.730,0.651,0.312,0.692,0.789,0.295,0.229,0.176,0.066,0.690,0.190,0.020,0.081,-0.622,0.726,0.209,0.141,0.126,-0.290
40,BiSP Lab,406,0.690,0.164,0.205,0.081,-0.179,0.683,0.283,0.278,0.062,-0.228,0.638,0.133,0.181,0.029,-0.087,0.602,0.147,0.031,0.027,-0.740,0.585,0.109,0.097,0.031,-0.476
41,Technion_AIMLAB,202,0.662,0.175,0.117,0.000,-0.406,0.774,0.448,0.233,0.000,-0.455,0.646,0.160,0.084,0.000,-0.390,0.650,0.249,0.004,0.000,-0.848,0.645,0.180,0.050,0.000,-0.658
